name,brand,segment,origin,release_year,platform,drivetrain,front_suspension,rear_suspension,engine,engine_hp,torque,transmission,fuel_consumption,price,base_price,top_price,seats,ground_clearance,length,width,height,wheelbase,curb_weight,gross_weight,turning_radius,cargo_volume,fuel_tank_capacity,front_brake,rear_brake,tire_wheel,led_headlights,auto_headlights,electric_mirrors,sunroof,screen_size,apple_carplay,android_auto,bluetooth,usb,speakers,wireless_charging,leather_seats,cabin_space,electric_parking_brake,auto_hold,hud,drive_modes,paddle_shifters,cruise_control,adaptive_cruise_control,airbags,abs_ebd,brake_assist,esp,traction_control,hill_start_assist,blind_spot_warning,rear_camera,camera_360,lane_assist,aeb,rear_cross_traffic_alert,tire_pressure_monitoring,parking_sensors,isofix,safety
Toyota Camry,Toyota,D-Sedan,Nhập khẩu Thái Lan,2025,TNGA,FWD,MacPherson,Tay đòn kép,2.5L Hybrid,207,243,e-CVT,6.8,1220000000,1105000000,1495000000,5,140,4885,1840,1445,2825,1580,2030,5.7,524,50,Đĩa,Đĩa,235/45 R18,true,true,true,false,9,true,true,true,true,9,true,true,Rộng rãi,true,true,false,true,false,true,true,7,true,true,true,true,true,true,true,true,true,true,true,true,true,true,Toyota Safety Sense
Honda Civic,Honda,C-Sedan,Nhập khẩu Thái Lan,2025,Honda Global Compact,FWD,MacPherson,Liên kết đa điểm,1.5L Turbo,176,240,CVT,6.4,870000000,789000000,999000000,5,134,4678,1802,1415,2735,1360,1760,5.6,428,47,Đĩa,Đĩa,235/40 R18,true,true,true,true,9,true,true,true,true,12,true,true,Rộng rãi,true,true,false,true,true,true,true,6,true,true,true,true,true,true,true,true,false,true,true,true,true,true,Honda Sensing
BYD Seal 5 2026,BYD,Sedan PHEV,Chưa cập nhật,2026,Chưa cập nhật,FWD,MacPherson,Thanh dầm xoắn,PHEV 1.5L,209,300,Chưa cập nhật,3.8,696000000,696000000,696000000,5,160,4780,1837,1495,2718,0,0,0,450,45,Đĩa thông gió,Đĩa,215/55 R17,true,true,true,false,12.8,true,true,true,true,8,true,true,Chưa cập nhật,true,true,false,false,false,true,false,6,true,true,true,true,true,false,true,true,false,false,false,true,true,true,"ABS, BA, EBD, ESP, TCS, hỗ trợ khởi hành ngang dốc, camera lùi, camera 360, Isofix, cảm biến áp suất lốp, cảm biến trước/sau"
